accommodate,3,3,vi. 适应；调解 vt. 容纳；使适应；供应；调解 accommodate: 调节|适应|供给 accommodate vt: 向 accommodate with: 借
abundance,3,3,n. 丰富
acquaint,3,3,vt. 使熟悉；使认识
acceleration,1,2,n. 加速，促进；[物] 加速度 Acceleration: 加速|加速性能|提前收益的 acceleration simulator: 加速度仿真器 acceleration time: 加速时间|加速卷绕时间
accessory,1,2,n. 配件；附件；[法] 从犯 adj. 副的；同谋的；附属的 accessory: 配件|附件|辅料 accessory factor: 辅助因子|增补因素|附属要素 Accessory kit: 附件包|附件工具包|附属品
accordance,1,2,n. 一致；和谐 accordance: 一致|一致性|调和 accordance circuit: 符合电路 DELICATE ACCORDANCE: 微妙的和谐
accordingly,1,2,adv. 因此，于是；相应地；照著 accordingly: 因此|于是|相应地 accordingly contemplate: 随观 act accordingly: 核办
accuracy,1,2,n. [数] 精确度，准确性 accuracy: 准确性|准确|精确度 alignment accuracy: 对准精度|调整精度|位置对准精确度 accuracy rating: 准确度|额定准确度|精确度
ache,2,2,n. 疼痛 vi. 疼痛；渴望 AchE: 胆碱酯酶|乙酰胆碱酯酶|乙酰胆碱脂酶 ache for: 想念 Keymon Ache: 阿奇的神奇玩具
abandon,2,3,n. 狂热；放任 vt. 遗弃；放弃 abandon: 放弃|确认期权失效|委付 Call abandon: 呼叫中途挂机 abandon  v: 放弃
abroad,1,3,n. 海外；异国 adj. 往国外的 adv. 在国外；到海外 abroad: 国外|在国外|往国外 Going Abroad: 境外游|出国 go abroad: 出国|去国外|出洋
abrupt,2,3,adj. 生硬的；突然的；唐突的；陡峭的
absence,2,3,n. 没有；缺乏；缺席；不注意 absence: 缺席|不在|失去 unauthorized absence: 擅离职守|擅自缺勤 continuous absence: 持续缺勤|连续缺勤
absent,1,3,adj. 缺席的；缺少的；心不在焉的；茫然的 vt. 使缺席 absent: 不存在|不在的|缺席的 absent voting: 缺席投票 absent phase: 缺失相
absorb,1,3,vt. 吸收；吸引；承受；理解；使…全神贯注 Absorb: 吸收|摊配|吸附 absorb dose: 吸收计量 absorb nutrients: 吸收营养
absurd,1,3,n. 荒诞；荒诞作品 adj. 荒谬的；可笑的
additional,0,1,adj. 附加的，额外的 Additional: 附加的|额外的|加法的 additional order: 追加|追加订单|追加定单 additional tax: 补加税罚款|附加税|追加税
adequate,1,1,adj. 充足的；适当的；胜任的 adequate: 足够的|适当的|适度的 adequate demand: 充分需求 adequate disclosure: 充分披露|充分反映|会计事项的充分表达
adhere,0,1,vi. 坚持；依附；粘着；追随 vt. 使粘附
adjacent,1,1,"adj. 毗连的，邻近的近义：neighboring, nearby    "
